ML_HAA.init					uni183E.init
ML_HAA.medi					uni183E.medi
ML_HAA.fina					uni183E.fina
ML_ZRA						uni183F
ML_ZRA.init					uni183F.init
ML_ZRA.medi					uni183F.medi
ML_ZRA.fina					uni183F.fina
ML_LHA						uni1840
ML_LHA.init					uni1840.init
ML_LHA.medi					uni1840.medi
ML_ZHI						uni1841
ML_CHI						uni1842
MLT_LONG_VOWEL_SIGN			uni1843
MLT_LONG_VOWEL_SIGN.medi	uni1843.medi
MLT_LONG_VOWEL_SIGN.fina	uni1843.fina
MLT_E						uni1844
MLT_E.init					uni1844.init
MLT_E.medi					uni1844.medi
MLT_E.medi1					uni1844.medivar1
MLT_I						uni1845
MLT_I.isol					uni1845
MLT_I.init					uni1845.init
MLT_I.medi					uni1845.medi
MLT_I.medi1					uni1845.medivar1
MLT_I.fina					uni1845.fina
MLT_O						uni1846
MLT_O.isol					uni1846
MLT_O.init					uni1846.init
MLT_O.medi					uni1846.medi
MLT_O.medi1					uni1846.medivar1
MLT_O.fina					uni1846.fina
MLT_U						uni1847
MLT_U.isol					uni1847
MLT_U.isol1					uni1847.var1
MLT_U.init					uni1847.init
MLT_U.medi					uni1847.medi
MLT_U.medi1					uni1847.medivar1
MLT_U.medi2					uni1847.medivar2
MLT_U.fina					uni1847.fina
MLT_U.fina1					uni1847.finavar1
MLT_OE						uni1848
MLT_OE.isol					uni1848
MLT_OE.init					uni1848.init
MLT_OE.medi					uni1848.medi
MLT_OE.medi1				uni1848.medivar1
MLT_OE.fina					uni1848.fina
MLT_UE						uni1849
MLT_UE.isol					uni1849
MLT_UE.isol1				uni1849.var1
MLT_UE.init					uni1849.init
MLT_UE.medi					uni1849.medi
MLT_UE.medi1				uni1849.medivar1
MLT_UE.fina					uni1849.fina
MLT_ANG						uni184A
MLT_ANG.medi				uni184A.medi
MLT_ANG.fina				uni184A.fina
MLT_BA						uni184B
MLT_BA.init					uni184B.init
MLT_BA.medi					uni184B.medi
MLT_BA.fina					uni184B.fina
MLT_PA						uni184C
MLT_PA.init					uni184C.init
MLT_PA.medi					uni184C.medi
MLT_PA.fina					uni184C.fina
MLT_QA						uni184D
MLT_QA.init					uni184D.init
MLT_QA.init1				uni184D.initfem
MLT_QA.medi					uni184D.medi
MLT_QA.medi1				uni184D.medifem
MLT_QA.fina					uni184D.fina
MLT_GA						uni184E
MLT_GA.isol					uni184E.initfem
MLT_GA.init					uni184E.init
MLT_GA.medi					uni184E.medi
MLT_GA.medi1				uni184E.medivar1
MLT_GA.fina					uni184E.fina
MLT_MA						uni184F
MLT_MA.init					uni184F.init
MLT_MA.medi					uni184F.medi
MLT_MA.fina					uni184F.fina
MLT_TA						uni1850
MLT_TA.init					uni1850.init
MLT_TA.medi					uni1850.medi
MLT_TA.fina					uni1850.fina
MLT_DA						uni1851
MLT_DA.init					uni1851.init
MLT_DA.fina					uni1851.fina
MLT_CHA						uni1852
MLT_CHA.init				uni1852.init
MLT_CHA.medi				uni1852.medi
MLT_CHA.fina				uni1852.fina
MLT_JA						uni1853
MLT_JA.init					uni1853.init
MLT_JA.medi					uni1853.medi
MLT_JA.fina					uni1853.fina
MLT_TSA						uni1854
MLT_TSA.init				uni1854.init
MLT_TSA.medi				uni1854.medi
MLT_TSA.fina				uni1854.fina
MLT_YA						uni1855
MLT_YA.init					uni1855.init
MLT_YA.medi					uni1855.medi
MLT_YA.fina					uni1855.fina
MLT_WA						uni1856
MLT_WA.init					uni1856.init
MLT_WA.medi					uni1856.medi
MLT_WA.fina					uni1856.fina
MLT_KA						uni1857
MLT_KA.init					uni1857.init
MLT_KA.medi					uni1857.medi
MLT_KA.fina					uni1857.fina
MLT_GAA						uni1858
MLT_GAA.init				uni1858.init
MLT_GAA.medi				uni1858.medi
MLT_GAA.fina				uni1858.fina
MLT_HAA						uni1859
MLT_HAA.init				uni1859.init
MLT_HAA.medi				uni1859.medi
MLT_HAA.fina				uni1859.fina
MLT_JIA						uni185A
MLT_NIA						uni185B
MLT_DZA						uni185C
MLT_DZA.init				uni185C.init
MLT_DZA.medi				uni185C.medi
MLT_DZA.fina				uni185C.fina
MLS_E						uni185D
MLS_E.isol					uni185D.isol
MLS_E.init					uni185D.init
MLS_E.medi					uni185D.medi
MLS_E.medi1					uni185D.medivar1
MLS_E.fina					uni185D.fina
MLS_E.fina1					uni185D.finavar1
MLS_I						uni185E
MLS_I.isol					uni185E.isol
MLS_I.init					uni185E.init
MLS_I.medi					uni185E.medi
MLS_I.medi1					uni185E.medivar1
MLS_I.medi2					uni185E.medivar2
MLS_I.fina					uni185E.fina
MLS_I.fina1					uni185E.finavar1
